の,of,no
抽選,lottery,chuusen
深める,deepen,fukame ru
負,negative,fu
絵本,Picture book,ehon
原産,Origin,gensan
暴動,Riot,boudou
水力,Hydraulic power,suiryoku
エントリー,entry,entorii
泥,mud,doro
用地,Site,youchi
打席,The bat,daseki
出品,Exhibit,shuppin
垣,Fence,kaki
明石,Akashi,akashi
ビクター,Victor,bikutaa
年少,Youth,nenshou
自称,Self-styled,jishou
夕,evening,yuu
ライオンズ,Lions,raionzu
朝日新聞,Asahi Shimbun,asahishinbun
長調,Major key,chouchou
交際,Association,kousai
アフガニスタン,Afghanistan,afuganisutan
ミネソタ,Minnesota,minesota
セガ,Sega,sega
破産,bankruptcy,hasan
満ちる,be full,michi ru
連立,Coalition,renritsu
住吉,Sumiyoshi,sumiyoshi
再興,Revival,saikou
汎用,General purpose,hanyou
私鉄,Private railway,shitetsu
煙,smoke,kemuri
尺,Scale,shaku
馬鹿,fool,baka
岡本,Okamoto,okamoto
幾何,Geometry,kika
掲示板,Bulletin board,keijiban
暗い,dark,kurai
威力,power,iryoku
翔,Sho,shou
狩る,hunt,karu
母艦,Aircraft Carrier,bokan
拳銃,Pistol,kenjuu
大輔,Daisuke,daisuke
頻度,frequency,hindo
マイクロソフト,Microsoft,maikurosofuto
住人,Resident,juunin
何時も,always,nanji mo
利点,advantage,riten
途上,Developing,tojou
免疫,Immunity, meneki
矛盾,Contradiction,mujun
結論,Conclusion,ketsuron
坪,The basis,tsubo
体長,Body length,taichou
ダイエー,Daiei,daiee
島田,Shimada,shimada
地面,Ground,jimen
尼,Nun,ama
超人,Superman,choujin
西村,Nishimura,nishimura
尻,Buttocks,shiri
投下,drop,touka
新興,Developing,shinkou
タービン,Turbine,taabin
投与,Administration,touyo
オットー,Otto,ottoo
モバイル,mobile,mobairu
小田急,Odakyu,odakyuu
専ら,solely,moppara
浸透,Permeation,shintou
雌,female,mesu
差異,difference,sai
眠る,sleep,nemuru
馬車,Carriage,basha
伊予,Iyo,iyo
取扱,handling,toriatsukai
叫ぶ,call out,sakebu
セールス,sales,seerusu
バーン,Burn,baan
奪,Ablative,datsu
阻害,Inhibition,sogai
虹,Rainbow,niji
羽田,Haneda,haneda
改組,Reorganization,kaiso
市電,Tram,shiden
レオン,Leon,reon
療養,Medical treatment,ryouyou
ハーモニー,harmony,haamonii
温暖,Warmth,ondan
血液,blood,ketsueki
催す,Hold,moyoosu
ニンテンドー,Nintendo,nintendoo
ティー,tea,teii
楼,Tower,rou
実態,Actual situation,jittai
行進,march,koushin
異動,Change,idou
乗組員,Crew,norikumiin
東山,Higashiyama,higashiyama
ブレイク,break,bureiku
カフェ,Cafe,kafe
ずれる,Deviated,zureru
食用,edible,shokuyou
加熱,heating,kanetsu
回線,Circuit,kaisen
広東,Canton,kanton
全集,Complete works,zenshuu
少尉,Second lieutenant,shoui
木曜,Thursday,mokuyou
コンパクト,compact,konpakuto
ムハンマド,Muhammad,muhanmado
大友,Otomo,ootomo
置換,Replacement,chikan
特有,Peculiar,tokuyuu
駆使,Full use,kushi
名所,Points of Interest,meisho
掘る,dig,horu
大井,Oi,ooi
迎撃,Interceptor,geigeki
症候,Symptom,shoukou
乗用車,Passenger car,jouyousha
浪,Sina,nami
パキスタン,Pakistan,pakisutan
サンディエゴ,San Diego,sandiego
換装,Retrofits,kansou
座る,sit,suwaru
兎,rabbit,usagi
媒体,Media,baitai
気持ち,The feeling,kimochi
最上,Best,saijou
過激,Radical,kageki
那覇,Naha,naha
領有,Possession,ryouyuu
細長い,Long and narrow,hosonagai
消化,digestion,shouka
デトロイト,Detroit,detoroito
日程,Agenda,nittei
本田,Honda,honda
免れる,Escape,manukare ru
可決,Approval,kaketsu
合体,Union,gattai
算,Calculation,san
アルバニア,Albania,arubania
氷河,Glacier,hyouga
モーニング,Morning,mooningu
欠点,Disadvantage,ketten
伝道,Evangelism,dendou
調節,Regulation,chousetsu
半径,radius,hankei
稼ぐ,Earn,kasegu
閉店,closed,heiten
標識,Mark,hyoushiki
熊谷,Kumagai,kumagaya
グローバル,global,guroobaru
公布,Promulgation,koufu
救急,First aid,kyuukyuu
切手,stamp,kitte
ずっと,More,zutto
順序,order,junjo
間接,Indirection,kansetsu
プリンス,Prince,purinsu
西口,West entrance,nishiguchi
田園,The countryside, denen
因子,factor,inshi
探索,search,tansaku
中小,Small to medium,chuushou
土壌,soil,dojou
民事,Civil affairs,minji
戸田,Toda,toda
理念,Idea,rinen
パンク,punk,panku
デルタ,delta,deruta
豊橋,Toyohashi,toyohashi
代数,algebra,daisuu
誤解,Misunderstanding,gokai
ショック,shock,shokku
両側,both sides,ryougawa
プロトコル,protocol,purotokoru
ムービー,movie,muubii
援軍,Reinforcement,engun
ウェイ,Way,uei
祈る,pray,inoru
誓う,swear,chikau
府中,Fuchu,fuchuu
古河,Furukawa,koga
特技,Special skill,tokugi
嘉永,Kaei,ka ei
ムスリム,Muslim,musurimu
製薬,Pharmacy,seiyaku
ギア,gear,gia
ビート,beat,biito
否,no,hi
太平,Peace,taihei
山内,Yamauchi,yamauchi
極東,Far East,kyokutou
武力,Force,buryoku
スティーヴン,Stephen,suteiivun
自由党,Liberal Party,jiyuu tou
食う,Eat,kuu
同級生,classmate,doukyuusei
立川,Tachikawa,tachikawa
模する,To mimic,mosu ru
丸い,round,marui
交付,Delivering,koufu
ループ,loop,ruupu
軽減,Alleviation,keigen
バリエーション,variation,barieeshon
特番,Special number,tokuban
太い,thick,futoi
動詞,verb,doushi
ドメイン,domain,domein
羊,sheep,hitsuji
ホイール,wheel,hoiiru
成年,Majority,seinen
オイル,oil,oiru
首脳,The heads,shunou
挿絵,An illustration,sashie
プラザ,Plaza,puraza
左派,Left wing,saha
全土,Throughout,zendo
アドルフ,Adolf,adorufu
信じる,believe,shinji ru
ヒューストン,Houston,hyuusuton
高価,Expensive,kouka
重傷,Serious injuries,juushou
指向,Directional,shikou
給,Supply,kyuu
コーラス,chorus,koorasu
メダリスト,medalist,medarisuto
フランクフルト,Frankfurt,furankufuruto
悲劇,tragedy,higeki
散る,Fall,chiru
ストローク,stroke,sutorooku
ダーク,dark,daaku
作動,Working,sadou
安藤,Ando,andou
聖職,Priests,seishoku
天候,the weather,tenkou
飛ばす,Skip over,toba su
湊,Minato,minato
辞退,Refusal,jitai
退官,Retirement from office,taikan
新党,New party,shintou
スキル,skill,sukiru
梅田,Umeda,umeda
狩猟,hunting,shuryou
ハーバード,Harvard,haabaado
広義,Wide sense,kougi
全曲,Songs,zenkyoku
歩む,walk,ayumu
日向,Sunny place,hyuuga
フランソワ,Francois,furansowa
デッキ,deck,dekki
発車,Departure,hassha
組み立てる,assemble,kumitateru
込,Included,komi
小田,Oda,oda
シチリア,Sicily,shichiria
シリンダー,cylinder,shirindaa
ジェフ,Jeff,jiefu
松井,Matsui,matsui
バンダイ,Bandai,bandai
推奨,Recommendation,suishou
ユニオン,Union,yunion
係数,coefficient,keisuu
内海,Inland Sea,utsumi
フォワード,forward,fowaado
常時,Usually,jouji
彰,Akira,akira
改築,Reconstruction,kaichiku
ユニホーム,uniform,yunihoomu
ナトリウム,sodium,natoriumu
灘,Nada,nada
金庫,safe,kinko
色彩,color,shikisai
プラハ,Prague,puraha
アルミ,Aluminum,arumi
麻雀,Mah-jongg,maajan
工夫,Device,kufuu
アピール,appeal,apiiru
ウエスタン,Western,uesutan
校区,School district,kouku
バート,Bad,baato
葬る,bury,houmuru
霧,fog,kiri
マレー,Malay,maree
倣う,follow,narau
そもそも,In the first place,somosomo
直流,Direct current,chokuryuu
食糧,Food,shokuryou
土器,Earthenware,doki
偉大,Greatness,idai
ワークス,Works,waakusu
防災,Disaster prevention,bousai
水泳,swimming,suiei
低,Low,tei
斜面,Slope,shamen
アリス,Alice,arisu
クール,cool,kuuru
松下,Matsushita,matsushita
正体,True colors,shoutai
歌合,poetry contest,uta gou
塩化,chloride,enka
地盤,ground,jiban
煙突,chimney,entotsu
マット,mat,matto
マンチェスター,Manchester,manchesutaa
窒素,nitrogen,chisso
松原,Matsubara,matsubara
書類,Document,shorui
有罪,Guilt,yuuzai
断絶,Break,danzetsu
亜種,Subspecies,ashu
優しい,friendly,yasashii
高温,high temperature,kouon
芝居,play,shibai
名声,fame,meisei
涼,Ryo,ryou
多目的,Multipurpose,tamokuteki
アイヌ,Ainu,ainu
藤沢,Fujisawa,fujisawa
農家,Farmer,nouka
型式,Model,katashiki
内藤,Naito,naitou
利根,Tone,tone
藤井,Fujii,fujii
勝手,Selfishness,katte
人文,Humanity,jinbun
体調,Physical condition,taichou
有人,manned,yuujin
彫る,carve,horu
西南,Southwest,seinan
漫才,Comic dialogue,manzai
犀,rhino,sai
春秋,Spring and autumn,shunjuu
専修,Specialization,senshuu
特筆,Special mention,tokuhitsu
大相撲,Annual wrestling matches,oozumou
妖怪,Apparition,youkai
毅,Takeshi,tsuyoshi
必須,Required,hissu
合金,alloy,goukin
水源,Water sources,suigen
沢山,Lot,takusan
ナポリ,Naples,napori
肘,elbow,hiji
曲目,Tunes,kyokumoku
体形,Form,taikei
播磨,Harima,harima
部位,Part,bui
筋肉,muscle,kinniku
打ち出す,Hammer out,uchidasu
標的,target,hyouteki
インテル,Intel,interu
ケネディ,Kennedy,kenedi
ヴィクトリア,Victoria,vikutoria
尿,urine,nyou
国営,State-owned,kokuei
金銭,money,kinsen
院長,Director,inchou
一斉,All at once,issei
早川,Hayakawa,hayakawa
キエフ,Kiev,kiefu
常務,Managing director,joumu
トロント,Toronto,toronto
秩父,Chichibu,chichibu
進撃,attack,shingeki
我が,my,waga
元気,energy,genki
苦戦,Hard fight,kusen
禅,Zen,zen
側近,Close associate,sokkin
永遠,Eternity,eien
イラストレーター,Illustrator,irasutoreetaa
進水,Launched,shinsui
林檎,Apple,ringo
進軍,Marched,shingun
義務付ける,Oblige,gimuzuke ru
三好,Miyoshi,miyoshi
オルガン,organ,orugan
半数,Half of,hansuu
珍,rare,chin
授ける,Grant,sazuke ru
景気,Business,keiki
オーディオ,audio,oodio
功労,Merit,kourou
不在,absence,fuzai
告白,Confession,kokuhaku
大関,Ozeki,oozeki
弘前,Hirosaki,hirosaki
一角,narwhal,ikkaku
集積,Accumulation,shuuseki
ベンチ,bench,benchi
アイランド,Island,airando
ポンプ,pump,ponpu
爪,nail,tsume
王女,princess,oujo
副,Deputy,fuku
桜井,Sakurai,sakurai
降水,precipitation,kousui
線形,linear,senkei
チケット,ticket,chiketto
決着,Settlement,ketchaku
ターゲット,target,taagetto
生える,Grow,hae ru
営利,Profit,eiri
透明,Transparent,toumei
主翼,Wing,shuyoku
乏しい,poor,toboshi i
手伝う,help,tetsudau
天才,genius,tensai
司祭,Priest,shisai
陣地,Encampment,jinchi
駿河,Suruga,suruga
連ねる,Tsuraneru,tsurane ru
貸,Loan,tai
引き分ける,Pull apart,hikiwake ru
トリノ,Turin,torino
工程,A process,koutei
体力,Physical strength,tairyoku
正統,Legitimate,seitou
マスコット,mascot,masukotto
ポルノ,Pornography,poruno
池袋,Ikebukuro,ikebukuro
央,Central,ou
志す,Aspire,kokorozasu
教団,Cult,kyoudan
スロバキア,Slovakia,surobakia
洞窟,cave,doukutsu
カントリー,Country,kantorii
スタンダード,Standard,sutandaado
ドッグ,Dog,doggu
倉敷,Kurashiki,kurashiki
鞍,Saddle,kura
同行,Accompanying,doukou
哺乳,Suckling,honyuu
克,Katsu,katsu
特色,Feature,tokushoku
築城,Fortification,chikujou
フランシス,Francis,furanshisu
総統,President,soutou
真実,truth,shinjitsu
収,Osamu,shuu
基幹,Key,kikan
中毒,Poisoning,chuudoku
侵害,infringement,shingai
初日,first day,shonichi
アップル,Apple,appuru
モーツァルト,Mozart,mootsuaruto
平地,Level ground,heichi
ダンサー,dancer,dansaa
津田,Tsuda,tsuda
三田,Mita,mita
鷲,eagle,washi
パレスチナ,Palestine,paresuchina
股,crotch,mata
造営,Erecting,zouei
無理,Unreasonable,muri
振る舞う,behave,furu mau
ユニバーサル,Universal,yunibaasaru
桑,mulberry,kuwa
歩道,Sidewalk,hodou
直営,Direct management,chokuei
パチンコ,pachinko,pachinko
死体,cadaver,shitai
コロラド,Colorado,kororado
標本,Specimen,hyouhon
亡くす,lose,naku su
モントリオール,Montreal,montoriooru
刑法,Criminal law,keihou
蝉,cicada,semi
蝋,wax,rou
海苔,Seaweed,nori
友達,friend,tomodachi
後日,At a later date,gojitsu
商船,Merchant ship,shousen
布告,Proclamation,fukoku
見送る,See off,miokuru
サスペンション,suspension,sasupenshon
講和,peace,kouwa
楽天,Optimism,rakuten
変遷,Transition,hensen
属性,attribute,zokusei
先駆,Pioneer,senku
難民,refugees,nanmin
つぐ,Pour,tsugu
フレデリック,Frederick,furederikku
単体,Simple substance,tantai
他人,others,tanin
リアル,Real,riaru
辺境,Remote region,henkyou
湾岸,Gulf,wangan
難易,difficulty, nani
適合,Compatible,tekigou
炭坑,Coalmine,tankou
ソフトバンク,Softbank,sofutobanku
ラッセル,Russell,rasseru
木製,wooden,mokusei
後輩,junior,kouhai
高麗,Koryo,kourai
有権者,Electorate,yuukensha
測量,Surveying,sokuryou
隈,Kuma,kuma
拒絶,rejection,kyozetsu
ハンター,Hunter,hantaa
ドラゴンズ,Dragons,doragonzu
正解,Correct,seikai
東亜,East Asia,toua
管制,control,kansei
乗り出す,Embark on,nori dasu
和泉,Izumi,izumi
今川,Imagawa,imagawa
王室,The royal family,oushitsu
食堂,Cafeteria,shokudou
至,Itaru,ita
喪,mourning,mo
町田,Machida,machida
生前,Alive,seizen
ジョセフ,Joseph,josefu
切符,ticket,kippu
操,Misao,misao
官房,Chief Cabinet,kanbou
王家,Royal family,ouke
緊張,tension,kinchou
花火,fireworks,hanabi
アイスランド,Iceland,aisurando
始発,First train,shihatsu
教官,Instructor,kyoukan
葛籠,Spelled,kuzu kago
辞典,dictionary,jiten
軍部,Military authorities,gunbu
浜田,Hamada,hamada
反面,On the other hand,hanmen
代謝,metabolism,taisha
外伝,Side Story,gaiden
出家,Priest,shukke
好調,Favorable,kouchou
今井,Imai,imai
豪華,Gorgeous,gouka
階層,hierarchy,kaisou
オリックス,ORIX,orikkusu
大江,Oe,ooe
再会,Reunion,saikai
原始,Primeval,genshi
蓄積,Accumulation,chikuseki
農学,Agriculture,nougaku
膨大,Expansion,boudai
ライオン,Lion,raion
諸説,Theories,shosetsu
ため,For,tame
下野,Shimono,shimotsuke
バイト,Part-Time Job,baito
配す,Hythe,hai su
常磐,Tokiwa,jouban
号する,To issue,gou suru
旅館,Inn,ryokan
ルノー,Renault,runoo
世間,World,seken
シネマ,cinema,shinema
佐竹,Satake,satake
セントルイス,Saint Louis,sentoruisu
不全,Incomplete,fuzen
コラボレーション,collaboration,koraboreeshon
無関係,Unrelated,mukankei
魔女,witch,majo
石垣,Stone wall,ishigaki
中尉,First lieutenant,chuui
上限,upper limit,jougen
原発,Nuclear power plant,genpatsu
確か,Sure,tashika
諸侯,Prince,shokou
爆破,Blast,bakuha
白石,Shiraishi,shiroishi
世論,public opinion,yoron
挨拶,Greeting,aisatsu
咲く,bloom,saku
崩す,Destroy,kuzusu
陰謀,conspiracy,inbou
奪還,Recapture,dakkan
ボランティア,volunteer,boranteia
増刊,Special edition,zoukan
別々,separately,betsubetsu
高島,Takashima,takashima
勤,Tsutomu,tsutomu
大砲,Cannon,taihou
正に,Exactly,masani
回想,Reminiscence,kaisou
ガリシア,Galicia,garishia
キット,kit,kitto
恐竜,dinosaur,kyouryuu
掛,Hanging,kakari
安芸,Aki,aki
塩基,base,enki
ゴジラ,Godzilla,gojira
西海,West Sea,saikai
異名,Nickname,imyou
シニア,Senior,shinia
エレクトリック,electric,erekutorikku
徴収,Collection,choushuu
次長,Deputy general,jichou
宮本,Miyamoto,miyamoto
種子,seed,shushi
病死,Die a natural death,byoushi
扇,fan,ougi
大洋,Taiyo,taiyou
右手,right hand,migite
家屋,House,kaoku
ラップ,Wrap,rappu
アムステルダム,Amsterdam,amusuterudamu
戯曲,Drama,gikyoku
日時,Date and time,nichiji
木曽,Kiso,kiso
阿波,Awa,awa
突く,poke,tsuku
自立,Self-reliance,jiritsu
積分,Integral,sekibun
特権,Privilege,tokken
同性愛,Homosexuality,douseiai
インストール,Install,insutooru
もはや,no longer,mohaya
ホラー,Horror,horaa
ドール,Doll,dooru
振るう,Wield,furu u
廟,Mausoleum,byou
真空,vacuum,shinkuu
追求,Pursuit,tsuikyuu
クイーン,Queen,kuiin
容器,container,youki
調,Tone,chou
対岸,Opposite shore,taigan
リトル,little,ritoru
商事,Shoji,shouji
遅延,delay,chien
薫,Kaoru,kaoru
貼る,Stick,haru
加えて,in addition,kuwae te
ローン,loan,roon
摂政,regent,sesshou
フィルター,filter,firutaa
実に,Really,jitsuni
遠藤,Endo,endou
庸,Isao,you
本質,The essence,honshitsu
講習,Short course,koushuu
郷土,Local,kyoudo
諸,various,sho
インディ,Indy,indi
水面,Water surface,suimen
没収,Confiscation,bosshuu
寄贈,Donation,kizou
実証,The demonstration,jisshou
何とか,somehow,nantoka
ホスト,host,hosuto
公衆,public,koushuu
吸う,suck,suu
計測,measurement,keisoku
炊く,cook,taku
代官,Magistrate,daikan
是,Shi,kore
遂行,Execution,suikou
童,Child,warabe
国体,National Athletic Meet,kokutai
ガーデン,Garden,gaaden
西宮,Nishinomiya,nishinomiya
修める,Cultivate,osame ru
内装,Interior,naisou
喧嘩,quarrel,kenka
踏まえる,Given,fuma eru
直列,series,chokuretsu
グッズ,Goods,guzzu
領事,Consul,ryouji
仮定,Assumption,katei
休刊,Suspension of publication,kyuukan
戦果,Veterans,senka
じゃ,Well,ja
盗む,steal,nusumu
甘い,sweet,amai
薬剤,Drug,yakuzai
報酬,Remuneration,houshuu
動脈,artery,doumyaku
東口,East entrance,higashiguchi
焦点,focus,shouten
祖先,ancestor,sosen
マウント,mount,maunto
ファミコン,NES,famikon
炭,Charcoal,sumi
石器,stone tool,sekki
実務,Practical business,jitsumu
世田谷,Setagaya,setagaya
貢,Contribution,mitsugu
被る,suffer,koumuru
婦人,Woman,fujin
秩序,order,chitsujo
退学,Withdrawal,taigaku
鳩,pigeon,hato
果,Results,ka
椎,Vertebral,shii
ギャラリー,gallery,gyararii
親しい,close,shitashi i
テイラー,Taylor,teiraa
流派,school,ryuuha
丹波,Tamba,tanba
吐く,Vomit,haku
任天堂,Nintendo,nintendou
婚約,engagement,konyaku
他方,On the other hand,tahou
